,Price,Accommodates,Bedrooms,Amenities Count,Minimum Nights,Maximum Nights
Price,1.0,0.5305690161167412,0.45767203188499356,0.1702287390271669,0.02752844233251623,0.05326816328886714
Accommodates,0.5305690161167412,1.0,0.6772256410156258,0.25907290250250514,0.013697241537357982,0.04921408452065601
Bedrooms,0.45767203188499356,0.6772256410156258,1.0,0.1913457231266665,0.032504808188935946,0.017151780684731794
Amenities Count,0.1702287390271669,0.25907290250250514,0.1913457231266665,1.0,-0.06008536427536258,-0.022881433506301143
Minimum Nights,0.02752844233251623,0.013697241537357982,0.032504808188935946,-0.06008536427536258,1.0,0.10320132430891975
Maximum Nights,0.05326816328886714,0.04921408452065601,0.017151780684731794,-0.022881433506301143,0.10320132430891975,1.0
